"MORALG","CARESG","KNOWG","LEADG","DISHONG","INTELG","MORALB","CARESB","KNOWB","LEADB","DISHONB","INTELB","VOTE3","AGE","EDUC","GENDER","PARTY"
"2 Quite well","3 Not too well","2 Quite well","2 Quite well","3 Not too well","2 Quite well","2 Quite well","4 Not well at all","2 Quite well","4 Not well at all","2 Quite well","2 Quite well",NA,37,3,1,3
"1 Extremely well","2 Quite well","2 Quite well","3 Not too well","3 Not too well","2 Quite well","3 Not too well","2 Quite well","2 Quite well","1 Extremely well","3 Not too well","1 Extremely well",2,18,3,2,5
"1 Extremely well","2 Quite well","2 Quite well",NA,"3 Not too well","2 Quite well","2 Quite well","3 Not too well",NA,NA,"4 Not well at all",NA,1,70,4,2,4
"2 Quite well","3 Not too well","2 Quite well","3 Not too well","2 Quite well","2 Quite well","2 Quite well","2 Quite well","2 Quite well","1 Extremely well","4 Not well at all","2 Quite well",2,31,4,1,7
"2 Quite well","3 Not too well","2 Quite well","2 Quite well","4 Not well at all","2 Quite well","2 Quite well","2 Quite well","3 Not too well","2 Quite well","4 Not well at all","3 Not too well",NA,18,2,2,6
"1 Extremely well","1 Extremely well","1 Extremely well","1 Extremely well","3 Not too well","1 Extremely well","4 Not well at all","4 Not well at all","3 Not too well","3 Not too well","3 Not too well","3 Not too well",1,22,4,2,2
"2 Quite well","2 Quite well","2 Quite well","2 Quite well","4 Not well at all","2 Quite well",NA,NA,NA,NA,NA,NA,NA,60,3,2,1
"2 Quite well","2 Quite well","2 Quite well","2 Quite well","2 Quite well","2 Quite well","1 Extremely well","2 Quite well","2 Quite well","1 Extremely well","4 Not well at all","2 Quite well",NA,44,6,2,7
"3 Not too well","3 Not too well","2 Quite well","2 Quite well","2 Quite well","2 Quite well","4 Not well at all","3 Not too well","2 Quite well","1 Extremely well","2 Quite well","2 Quite well",2,72,3,1,4
"3 Not too well","3 Not too well","2 Quite well","3 Not too well","3 Not too well","3 Not too well","2 Quite well","2 Quite well","2 Quite well","2 Quite well","2 Quite well","2 Quite well",2,43,2,2,3
"2 Quite well","2 Quite well","1 Extremely well","1 Extremely well","4 Not well at all","1 Extremely well","4 Not well at all","4 Not well at all","4 Not well at all","4 Not well at all","2 Quite well","4 Not well at all",1,57,3,2,1
"2 Quite well","1 Extremely well","2 Quite well","2 Quite well","3 Not too well","2 Quite well","3 Not too well","4 Not well at all","2 Quite well","3 Not too well","2 Quite well","2 Quite well",1,43,6,1,2
"2 Quite well","4 Not well at all","1 Extremely well","1 Extremely well","2 Quite well","1 Extremely well","2 Quite well","4 Not well at all","4 Not well at all","4 Not well at all","2 Quite well","3 Not too well",2,63,4,2,7
"3 Not too well","3 Not too well","3 Not too well","3 Not too well",NA,"3 Not too well",NA,"3 Not too well","2 Quite well","2 Quite well",NA,"2 Quite well",NA,40,3,2,3
"2 Quite well","2 Quite well","1 Extremely well","2 Quite well","4 Not well at all","1 Extremely well","3 Not too well","3 Not too well","3 Not too well","3 Not too well","3 Not too well","3 Not too well",NA,44,6,2,2
"4 Not well at all","3 Not too well","3 Not too well","4 Not well at all","2 Quite well","2 Quite well","2 Quite well","2 Quite well","2 Quite well","1 Extremely well","4 Not well at all","2 Quite well",2,29,4,1,7
"4 Not well at all","1 Extremely well","1 Extremely well","2 Quite well","4 Not well at all","2 Quite well","3 Not too well","3 Not too well","3 Not too well","3 Not too well","1 Extremely well","1 Extremely well",1,63,3,1,3
"3 Not too well","3 Not too well","2 Quite well","2 Quite well","3 Not too well","2 Quite well","1 Extremely well","3 Not too well","2 Quite well","1 Extremely well","3 Not too well","2 Quite well",2,19,4,2,5
"1 Extremely well","1 Extremely well","1 Extremely well","3 Not too well","3 Not too well","1 Extremely well","1 Extremely well","1 Extremely well","1 Extremely well","1 Extremely well","3 Not too well","1 Extremely well",2,57,3,2,6
NA,NA,"2 Quite well","3 Not too well",NA,"2 Quite well","2 Quite well","1 Extremely well","2 Quite well","2 Quite well","2 Quite well","2 Quite well",1,78,3,2,2
"2 Quite well",NA,NA,NA,NA,"2 Quite well","3 Not too well",NA,NA,"2 Quite well","2 Quite well","2 Quite well",NA,39,4,2,2
"2 Quite well","4 Not well at all","3 Not too well","3 Not too well","3 Not too well","1 Extremely well","1 Extremely well","1 Extremely well","1 Extremely well","1 Extremely well","4 Not well at all","1 Extremely well",2,68,3,1,5
"2 Quite well",NA,"2 Quite well",NA,"3 Not too well",NA,"2 Quite well",NA,"1 Extremely well","1 Extremely well","4 Not well at all","2 Quite well",NA,35,6,1,5
"2 Quite well","1 Extremely well","2 Quite well","2 Quite well","4 Not well at all","2 Quite well","3 Not too well","3 Not too well","2 Quite well","3 Not too well","3 Not too well","3 Not too well",NA,22,3,2,4
"1 Extremely well","1 Extremely well","2 Quite well","2 Quite well",NA,"2 Quite well","1 Extremely well","2 Quite well","2 Quite well","2 Quite well","4 Not well at all","2 Quite well",NA,76,4,2,5
"2 Quite well","3 Not too well","3 Not too well","3 Not too well","3 Not too well","2 Quite well","2 Quite well","3 Not too well","2 Quite well","2 Quite well","3 Not too well","2 Quite well",NA,32,5,2,6
"3 Not too well","3 Not too well","2 Quite well","4 Not well at all","4 Not well at all","2 Quite well","2 Quite well","2 Quite well","2 Quite well","2 Quite well",NA,"2 Quite well",NA,53,2,1,NA
"1 Extremely well","1 Extremely well","1 Extremely well","1 Extremely well","4 Not well at all","1 Extremely well","3 Not too well","4 Not well at all","2 Quite well","3 Not too well",NA,"2 Quite well",1,59,3,2,1
"3 Not too well","4 Not well at all","2 Quite well","2 Quite well","2 Quite well","2 Quite well","2 Quite well","2 Quite well","1 Extremely well","2 Quite well","4 Not well at all","1 Extremely well",2,62,7,1,7
"1 Extremely well","2 Quite well","2 Quite well","2 Quite well","4 Not well at all","2 Quite well","2 Quite well","2 Quite well","2 Quite well","2 Quite well","3 Not too well","2 Quite well",1,30,6,2,1
"1 Extremely well","1 Extremely well","3 Not too well","3 Not too well","3 Not too well","1 Extremely well","2 Quite well","2 Quite well","2 Quite well","2 Quite well","3 Not too well","2 Quite well",2,67,2,2,2
"1 Extremely well","2 Quite well","2 Quite well","2 Quite well","3 Not too well","2 Quite well","2 Quite well","2 Quite well","2 Quite well","3 Not too well","3 Not too well","2 Quite well",NA,43,3,2,1
"4 Not well at all","3 Not too well","1 Extremely well","3 Not too well","3 Not too well","3 Not too well","2 Quite well","1 Extremely well","2 Quite well","1 Extremely well","2 Quite well","1 Extremely well",2,34,3,2,5
"1 Extremely well","1 Extremely well","2 Quite well","2 Quite well","4 Not well at all","1 Extremely well","1 Extremely well","4 Not well at all","4 Not well at all","4 Not well at all",NA,"1 Extremely well",1,69,5,2,1
"2 Quite well","2 Quite well","2 Quite well","2 Quite well","3 Not too well","2 Quite well","3 Not too well","3 Not too well","2 Quite well","2 Quite well","2 Quite well","2 Quite well",1,28,3,2,3
"2 Quite well","3 Not too well","2 Quite well","3 Not too well","3 Not too well","2 Quite well","2 Quite well","2 Quite well","2 Quite well","2 Quite well","3 Not too well","3 Not too well",NA,19,3,2,2
"2 Quite well","4 Not well at all","3 Not too well","4 Not well at all","3 Not too well","3 Not too well","1 Extremely well","1 Extremely well","1 Extremely well","1 Extremely well","4 Not well at all","1 Extremely well",NA,23,4,2,7
"2 Quite well","4 Not well at all","4 Not well at all","3 Not too well","2 Quite well","4 Not well at all","1 Extremely well","1 Extremely well","1 Extremely well","1 Extremely well","4 Not well at all","1 Extremely well",2,30,7,2,6
"1 Extremely well","1 Extremely well","2 Quite well","1 Extremely well","4 Not well at all","2 Quite well","4 Not well at all","4 Not well at all","3 Not too well","3 Not too well","1 Extremely well","3 Not too well",1,37,3,1,1
"1 Extremely well","4 Not well at all","2 Quite well","3 Not too well","2 Quite well","2 Quite well","3 Not too well","4 Not well at all","3 Not too well","1 Extremely well","3 Not too well","3 Not too well",2,29,5,1,7
"2 Quite well","3 Not too well","2 Quite well","2 Quite well","2 Quite well","2 Quite well","1 Extremely well","1 Extremely well","2 Quite well","2 Quite well","4 Not well at all","2 Quite well",2,47,7,1,6
"1 Extremely well","1 Extremely well","1 Extremely well","1 Extremely well","4 Not well at all","1 Extremely well",NA,"4 Not well at all","1 Extremely well","4 Not well at all","3 Not too well","2 Quite well",NA,67,4,2,1
"1 Extremely well","1 Extremely well","2 Quite well","1 Extremely well","4 Not well at all","1 Extremely well","4 Not well at all","1 Extremely well","4 Not well at all","4 Not well at all","4 Not well at all","3 Not too well",1,NA,6,2,3
"3 Not too well","3 Not too well","3 Not too well","2 Quite well","2 Quite well","2 Quite well","3 Not too well","3 Not too well","2 Quite well","2 Quite well","3 Not too well","2 Quite well",2,50,4,1,6
"3 Not too well","3 Not too well","2 Quite well","2 Quite well","3 Not too well","2 Quite well","1 Extremely well","2 Quite well","2 Quite well","1 Extremely well","2 Quite well","2 Quite well",2,37,3,1,6
"2 Quite well","2 Quite well","2 Quite well","2 Quite well","3 Not too well","2 Quite well","2 Quite well","4 Not well at all","2 Quite well","2 Quite well","4 Not well at all","2 Quite well",1,45,3,2,2
"2 Quite well","3 Not too well","2 Quite well","3 Not too well","2 Quite well",NA,"2 Quite well","3 Not too well","2 Quite well","2 Quite well","3 Not too well","2 Quite well",1,51,3,2,2
NA,NA,"2 Quite well","2 Quite well",NA,"2 Quite well",NA,"2 Quite well","1 Extremely well","2 Quite well","3 Not too well","1 Extremely well",NA,59,6,2,7
"3 Not too well","2 Quite well","3 Not too well","3 Not too well","4 Not well at all","3 Not too well","2 Quite well","2 Quite well","2 Quite well","2 Quite well","4 Not well at all","2 Quite well",NA,34,1,1,3
"2 Quite well","2 Quite well","1 Extremely well","2 Quite well","4 Not well at all","2 Quite well","2 Quite well","3 Not too well","2 Quite well","2 Quite well","3 Not too well","2 Quite well",2,45,3,2,3
"2 Quite well","3 Not too well","2 Quite well","3 Not too well","3 Not too well","2 Quite well","1 Extremely well","1 Extremely well","1 Extremely well","1 Extremely well","4 Not well at all","1 Extremely well",2,43,3,2,5
"1 Extremely well","1 Extremely well","3 Not too well","3 Not too well",NA,NA,"1 Extremely well","1 Extremely well","1 Extremely well","1 Extremely well","4 Not well at all","1 Extremely well",2,56,3,2,4
"2 Quite well","2 Quite well","2 Quite well","2 Quite well","4 Not well at all","2 Quite well","2 Quite well","3 Not too well","3 Not too well","3 Not too well","4 Not well at all","2 Quite well",2,71,3,2,6
"2 Quite well","2 Quite well","1 Extremely well","2 Quite well","4 Not well at all","1 Extremely well","2 Quite well","3 Not too well","4 Not well at all","4 Not well at all","2 Quite well","4 Not well at all",1,60,4,2,1
"2 Quite well","2 Quite well","1 Extremely well","1 Extremely well","4 Not well at all","1 Extremely well","3 Not too well","4 Not well at all","1 Extremely well","2 Quite well","3 Not too well","2 Quite well",1,52,4,2,3
"2 Quite well","3 Not too well","3 Not too well","2 Quite well","3 Not too well","3 Not too well","2 Quite well","2 Quite well","2 Quite well","2 Quite well","3 Not too well","2 Quite well",2,36,7,2,3
"4 Not well at all","4 Not well at all","3 Not too well","4 Not well at all","1 Extremely well","3 Not too well","2 Quite well",NA,"2 Quite well","2 Quite well",NA,NA,2,58,3,2,4
"1 Extremely well","2 Quite well","2 Quite well","2 Quite well","4 Not well at all","2 Quite well","1 Extremely well","1 Extremely well","1 Extremely well","1 Extremely well","4 Not well at all","1 Extremely well",2,38,6,2,7
"1 Extremely well","1 Extremely well","2 Quite well","2 Quite well","4 Not well at all","2 Quite well","3 Not too well","4 Not well at all","2 Quite well","2 Quite well","2 Quite well","1 Extremely well",1,58,5,2,2
"4 Not well at all","4 Not well at all","4 Not well at all","4 Not well at all","4 Not well at all","4 Not well at all","4 Not well at all","4 Not well at all","4 Not well at all","4 Not well at all","4 Not well at all","4 Not well at all",NA,30,2,1,5
"2 Quite well",NA,"2 Quite well",NA,NA,"2 Quite well","3 Not too well","3 Not too well",NA,"3 Not too well",NA,NA,NA,37,3,2,2
"2 Quite well","2 Quite well","2 Quite well","3 Not too well","4 Not well at all","2 Quite well","2 Quite well","4 Not well at all","4 Not well at all","4 Not well at all","4 Not well at all","4 Not well at all",1,46,6,1,1
"3 Not too well","3 Not too well","2 Quite well","3 Not too well","3 Not too well","3 Not too well","1 Extremely well","2 Quite well","2 Quite well","2 Quite well","4 Not well at all","2 Quite well",2,54,4,1,6
"2 Quite well","4 Not well at all","2 Quite well","4 Not well at all","1 Extremely well","2 Quite well","2 Quite well","3 Not too well","1 Extremely well","1 Extremely well","3 Not too well","1 Extremely well",3,50,6,2,3
"1 Extremely well","1 Extremely well","4 Not well at all","1 Extremely well","1 Extremely well","4 Not well at all","2 Quite well","2 Quite well","2 Quite well","2 Quite well","1 Extremely well","2 Quite well",NA,34,3,2,3
"1 Extremely well","2 Quite well","4 Not well at all","2 Quite well","4 Not well at all","2 Quite well",NA,"4 Not well at all","3 Not too well","2 Quite well","2 Quite well","3 Not too well",1,47,4,1,1
"3 Not too well","3 Not too well","2 Quite well","3 Not too well","2 Quite well","2 Quite well","2 Quite well","2 Quite well","2 Quite well","2 Quite well","4 Not well at all","1 Extremely well",NA,26,4,2,5
"2 Quite well","2 Quite well","2 Quite well","2 Quite well","4 Not well at all","2 Quite well","2 Quite well","3 Not too well","2 Quite well","2 Quite well","4 Not well at all","2 Quite well",2,40,5,2,6
NA,"2 Quite well","1 Extremely well","1 Extremely well",NA,"2 Quite well","1 Extremely well","1 Extremely well","1 Extremely well","1 Extremely well","4 Not well at all","1 Extremely well",NA,48,3,2,2
"2 Quite well","4 Not well at all",NA,"4 Not well at all",NA,"3 Not too well","2 Quite well","2 Quite well","2 Quite well","2 Quite well","4 Not well at all","2 Quite well",2,24,4,2,6
"3 Not too well","3 Not too well","2 Quite well","4 Not well at all","2 Quite well","2 Quite well","1 Extremely well","2 Quite well","1 Extremely well","2 Quite well","4 Not well at all","1 Extremely well",2,37,5,2,6
"1 Extremely well","1 Extremely well","3 Not too well","2 Quite well","4 Not well at all","3 Not too well","2 Quite well","4 Not well at all","2 Quite well","2 Quite well","3 Not too well","2 Quite well",NA,34,4,2,2
"2 Quite well","2 Quite well","3 Not too well","3 Not too well","3 Not too well",NA,"2 Quite well","3 Not too well","2 Quite well","2 Quite well","3 Not too well","2 Quite well",1,64,7,2,5
"3 Not too well","2 Quite well","3 Not too well","2 Quite well","2 Quite well","2 Quite well","1 Extremely well","1 Extremely well","1 Extremely well","1 Extremely well","1 Extremely well","1 Extremely well",NA,34,3,2,3
"4 Not well at all","4 Not well at all","4 Not well at all","4 Not well at all","2 Quite well",NA,"2 Quite well","2 Quite well","2 Quite well","1 Extremely well","4 Not well at all","2 Quite well",2,45,3,1,7
"2 Quite well",NA,"2 Quite well","2 Quite well","4 Not well at all","2 Quite well","2 Quite well","2 Quite well","2 Quite well","2 Quite well","4 Not well at all","1 Extremely well",NA,82,1,2,1
"2 Quite well","2 Quite well","2 Quite well","2 Quite well","2 Quite well","2 Quite well","2 Quite well","3 Not too well","2 Quite well","2 Quite well","3 Not too well","2 Quite well",NA,38,2,2,2
"4 Not well at all","4 Not well at all","1 Extremely well","3 Not too well","1 Extremely well","1 Extremely well","1 Extremely well","1 Extremely well","1 Extremely well","2 Quite well","4 Not well at all","1 Extremely well",2,56,4,1,7
"2 Quite well","2 Quite well","2 Quite well","2 Quite well","3 Not too well","2 Quite well","3 Not too well","3 Not too well","1 Extremely well","2 Quite well","3 Not too well","2 Quite well",1,25,6,1,3
"3 Not too well","3 Not too well","2 Quite well","4 Not well at all","2 Quite well","2 Quite well","1 Extremely well","2 Quite well","2 Quite well","2 Quite well","4 Not well at all","1 Extremely well",2,47,4,2,6
"1 Extremely well","1 Extremely well","1 Extremely well","1 Extremely well","4 Not well at all","1 Extremely well","4 Not well at all","3 Not too well","1 Extremely well","3 Not too well","2 Quite well","2 Quite well",1,57,3,1,3
"1 Extremely well","1 Extremely well","1 Extremely well","1 Extremely well","4 Not well at all","2 Quite well","2 Quite well","4 Not well at all","2 Quite well","4 Not well at all","3 Not too well","2 Quite well",1,76,3,2,1
"3 Not too well","4 Not well at all","1 Extremely well","3 Not too well","2 Quite well","1 Extremely well","2 Quite well","2 Quite well","2 Quite well","2 Quite well","4 Not well at all","2 Quite well",2,49,6,1,5
"4 Not well at all","4 Not well at all","2 Quite well","3 Not too well","1 Extremely well","2 Quite well","4 Not well at all","4 Not well at all","2 Quite well","2 Quite well","1 Extremely well","2 Quite well",NA,37,3,1,4
"2 Quite well","2 Quite well","2 Quite well","2 Quite well","2 Quite well","2 Quite well",NA,NA,NA,"2 Quite well","2 Quite well","2 Quite well",1,35,3,2,2
"3 Not too well","3 Not too well","2 Quite well","3 Not too well","2 Quite well","2 Quite well","2 Quite well","2 Quite well","2 Quite well","2 Quite well","3 Not too well","2 Quite well",NA,45,3,2,6
"1 Extremely well","2 Quite well","1 Extremely well","1 Extremely well",NA,"1 Extremely well","2 Quite well","3 Not too well","2 Quite well","4 Not well at all","4 Not well at all","2 Quite well",1,51,4,2,3
"2 Quite well","3 Not too well","1 Extremely well","2 Quite well","3 Not too well","2 Quite well","2 Quite well","3 Not too well","2 Quite well","2 Quite well","4 Not well at all","2 Quite well",1,78,7,1,5
"2 Quite well","2 Quite well","2 Quite well","2 Quite well","4 Not well at all","2 Quite well","3 Not too well","3 Not too well","2 Quite well","3 Not too well","4 Not well at all","3 Not too well",NA,42,5,2,2
"1 Extremely well","3 Not too well","1 Extremely well","2 Quite well","3 Not too well","1 Extremely well","4 Not well at all","4 Not well at all","4 Not well at all","3 Not too well","1 Extremely well","3 Not too well",3,53,6,1,3
"2 Quite well","3 Not too well","2 Quite well","4 Not well at all","2 Quite well","2 Quite well","2 Quite well","1 Extremely well","2 Quite well","1 Extremely well","4 Not well at all","1 Extremely well",2,51,3,2,5
"3 Not too well","3 Not too well","3 Not too well","3 Not too well","2 Quite well","3 Not too well","2 Quite well","2 Quite well","3 Not too well","3 Not too well","3 Not too well","2 Quite well",2,35,7,2,6
"1 Extremely well","2 Quite well","2 Quite well","3 Not too well","4 Not well at all","2 Quite well","1 Extremely well","2 Quite well","2 Quite well","1 Extremely well","4 Not well at all","2 Quite well",NA,42,5,1,6
"2 Quite well","3 Not too well","3 Not too well","3 Not too well","2 Quite well","2 Quite well","1 Extremely well","2 Quite well","2 Quite well","2 Quite well","4 Not well at all","2 Quite well",2,36,7,1,7
"2 Quite well","2 Quite well","2 Quite well","2 Quite well","4 Not well at all","2 Quite well","3 Not too well","4 Not well at all","3 Not too well","4 Not well at all","3 Not too well","4 Not well at all",1,48,6,1,1
"2 Quite well","2 Quite well","2 Quite well","2 Quite well","2 Quite well","2 Quite well","2 Quite well","2 Quite well","2 Quite well","2 Quite well","3 Not too well","2 Quite well",2,66,2,2,7
NA,NA,NA,NA,NA,NA,NA,NA,"4 Not well at all",NA,NA,NA,NA,30,3,2,4
"2 Quite well","3 Not too well","4 Not well at all","3 Not too well","4 Not well at all","2 Quite well","1 Extremely well","3 Not too well","2 Quite well","1 Extremely well","3 Not too well","2 Quite well",2,40,6,2,6
NA,NA,NA,"3 Not too well",NA,"3 Not too well","2 Quite well","2 Quite well","1 Extremely well","2 Quite well","3 Not too well","2 Quite well",NA,33,3,1,6
"4 Not well at all","4 Not well at all","3 Not too well","4 Not well at all","4 Not well at all","2 Quite well","2 Quite well","2 Quite well","2 Quite well","2 Quite well","4 Not well at all","2 Quite well",1,33,4,1,2
"2 Quite well","2 Quite well","2 Quite well","2 Quite well","3 Not too well","2 Quite well","4 Not well at all","4 Not well at all","4 Not well at all","4 Not well at all","2 Quite well","3 Not too well",1,29,7,2,1
"2 Quite well","4 Not well at all","2 Quite well","4 Not well at all","4 Not well at all","3 Not too well","2 Quite well","2 Quite well","2 Quite well","2 Quite well","3 Not too well","2 Quite well",2,20,3,2,4
"2 Quite well","2 Quite well","2 Quite well","2 Quite well","3 Not too well","1 Extremely well","1 Extremely well","2 Quite well","2 Quite well","2 Quite well","4 Not well at all","1 Extremely well",1,70,2,2,1
"3 Not too well","3 Not too well","2 Quite well","3 Not too well","3 Not too well","2 Quite well","2 Quite well","2 Quite well","2 Quite well","2 Quite well","2 Quite well","2 Quite well",NA,66,3,1,6
"1 Extremely well","1 Extremely well","1 Extremely well","1 Extremely well","4 Not well at all","1 Extremely well","2 Quite well","3 Not too well","2 Quite well","3 Not too well","2 Quite well","2 Quite well",1,61,6,2,2
"1 Extremely well","1 Extremely well","1 Extremely well","2 Quite well","3 Not too well","1 Extremely well","2 Quite well","3 Not too well","3 Not too well","2 Quite well","1 Extremely well","1 Extremely well",1,74,1,2,1
"1 Extremely well","1 Extremely well","1 Extremely well","1 Extremely well","4 Not well at all","1 Extremely well","2 Quite well","3 Not too well","2 Quite well","3 Not too well","2 Quite well","3 Not too well",1,65,6,2,1
"2 Quite well","2 Quite well","2 Quite well","2 Quite well","4 Not well at all","2 Quite well","1 Extremely well","1 Extremely well","1 Extremely well","1 Extremely well","4 Not well at all","2 Quite well",2,55,6,2,7
"2 Quite well","3 Not too well","2 Quite well","2 Quite well","3 Not too well","2 Quite well","2 Quite well","3 Not too well","2 Quite well","2 Quite well","3 Not too well","2 Quite well",NA,31,6,1,4
"1 Extremely well","1 Extremely well","1 Extremely well","1 Extremely well","4 Not well at all","1 Extremely well",NA,"3 Not too well","2 Quite well","4 Not well at all","3 Not too well","2 Quite well",1,62,5,2,1
"4 Not well at all","4 Not well at all","2 Quite well","4 Not well at all","1 Extremely well","2 Quite well","1 Extremely well","2 Quite well","1 Extremely well","2 Quite well","4 Not well at all","2 Quite well",NA,45,4,1,5
"3 Not too well","4 Not well at all","3 Not too well","4 Not well at all","3 Not too well","3 Not too well","1 Extremely well","2 Quite well","2 Quite well","1 Extremely well",NA,"1 Extremely well",2,74,6,1,7
"2 Quite well","1 Extremely well","1 Extremely well","2 Quite well","4 Not well at all","1 Extremely well",NA,"4 Not well at all","4 Not well at all",NA,"4 Not well at all","2 Quite well",1,51,4,2,2
"2 Quite well",NA,"2 Quite well",NA,NA,"2 Quite well",NA,NA,"2 Quite well",NA,NA,"2 Quite well",NA,60,2,2,6
"1 Extremely well","3 Not too well","1 Extremely well","3 Not too well","2 Quite well","1 Extremely well","1 Extremely well","2 Quite well","1 Extremely well","3 Not too well","3 Not too well","1 Extremely well",2,65,4,1,5
"4 Not well at all",NA,"2 Quite well","4 Not well at all","1 Extremely well","2 Quite well","1 Extremely well",NA,"1 Extremely well","1 Extremely well","4 Not well at all","1 Extremely well",2,59,7,1,7
"1 Extremely well","1 Extremely well","1 Extremely well","2 Quite well","4 Not well at all","1 Extremely well",NA,"4 Not well at all","3 Not too well","3 Not too well",NA,"2 Quite well",1,37,5,2,1
"1 Extremely well","2 Quite well","1 Extremely well","2 Quite well","3 Not too well","1 Extremely well","1 Extremely well","3 Not too well","2 Quite well","3 Not too well","2 Quite well","2 Quite well",1,70,5,2,2
"1 Extremely well","1 Extremely well","1 Extremely well","1 Extremely well","4 Not well at all","1 Extremely well","3 Not too well","4 Not well at all","2 Quite well","3 Not too well","3 Not too well","1 Extremely well",1,82,3,2,1
"2 Quite well",NA,"2 Quite well",NA,NA,"2 Quite well",NA,NA,"2 Quite well","2 Quite well",NA,"2 Quite well",NA,35,5,1,6
"1 Extremely well","2 Quite well","2 Quite well","1 Extremely well","4 Not well at all","1 Extremely well","3 Not too well","4 Not well at all","3 Not too well","3 Not too well","3 Not too well","4 Not well at all",NA,61,2,1,1
"1 Extremely well","1 Extremely well","2 Quite well","1 Extremely well","2 Quite well","2 Quite well","1 Extremely well","3 Not too well","2 Quite well",NA,"2 Quite well","4 Not well at all",1,57,4,1,1
"2 Quite well","1 Extremely well","2 Quite well","2 Quite well","4 Not well at all","2 Quite well","3 Not too well","3 Not too well","3 Not too well","4 Not well at all",NA,"3 Not too well",NA,57,3,2,1
"2 Quite well","1 Extremely well","2 Quite well","4 Not well at all","4 Not well at all","4 Not well at all","2 Quite well","3 Not too well","2 Quite well","2 Quite well","2 Quite well","2 Quite well",NA,41,6,1,7
"3 Not too well","2 Quite well","1 Extremely well","1 Extremely well","3 Not too well","1 Extremely well",NA,NA,"2 Quite well",NA,NA,"2 Quite well",1,56,4,2,1
"4 Not well at all","4 Not well at all","4 Not well at all","4 Not well at all","2 Quite well","3 Not too well","1 Extremely well","2 Quite well","2 Quite well","2 Quite well","4 Not well at all","2 Quite well",2,81,6,1,7
"3 Not too well","3 Not too well","3 Not too well","4 Not well at all","3 Not too well","3 Not too well","1 Extremely well","1 Extremely well","1 Extremely well","1 Extremely well","4 Not well at all","2 Quite well",2,35,5,2,7
"2 Quite well","1 Extremely well","1 Extremely well","2 Quite well","3 Not too well","1 Extremely well","2 Quite well","3 Not too well","3 Not too well","2 Quite well","3 Not too well","3 Not too well",1,55,6,1,2
"3 Not too well","2 Quite well","2 Quite well","3 Not too well","3 Not too well","2 Quite well","3 Not too well","2 Quite well","3 Not too well","2 Quite well","3 Not too well","3 Not too well",1,33,7,2,2
"2 Quite well","2 Quite well","1 Extremely well","1 Extremely well","4 Not well at all","1 Extremely well",NA,NA,"1 Extremely well","3 Not too well","3 Not too well","1 Extremely well",NA,22,3,2,4
"3 Not too well","4 Not well at all","2 Quite well","3 Not too well","2 Quite well",NA,"2 Quite well","2 Quite well","2 Quite well","2 Quite well","3 Not too well",NA,NA,24,4,1,4
